순번,정산ID,고유번호(ARS),정류장명,시도명,시군구명,읍면동명,경도(십진수 도_분) 표기,위도(십진수 도_분) 표기
2336,8006007,51130,대덕소방서,대전광역시,대덕구,법1동,127°25.6910'E,36°22.3780'N
2337,8007001,23300,한화생명이글스파크,대전광역시,중구,대사동,127°25.7114'E,36°19.0842'N
2338,8007002,23310,보문산진입로,대전광역시,중구,대사동,127°25.5220'E,36°18.9378'N
2339,8007003,23320,보문산진입로,대전광역시,중구,대사동,127°25.5451'E,36°18.9540'N
2340,8007004,23330,보문산공원로,대전광역시,중구,대사동,127°25.3406'E,36°18.8196'N
2341,8007005,23340,보문산공원로,대전광역시,중구,대사동,127°25.3397'E,36°18.8124'N
2342,8007006,23350,보문산공원,대전광역시,중구,대사동,127°25.2233'E,36°18.7218'N
2343,8007007,23360,문창동보문교,대전광역시,중구,문창동,127°26.0511'E,36°19.2167'N
2344,8007008,53190,금강로하스대청공원,대전광역시,대덕구,신탄진동,127°28.5764'E,36°28.3488'N
2345,8007009,53200,금강로하스대청공원,대전광역시,대덕구,신탄진동,127°28.5134'E,36°28.3182'N
2346,8007010,53220,비래검문소,대전광역시,대덕구,비래동,127°26.7081'E,36°21.4206'N
2347,8007011,34960,둔원초등학교,대전광역시,서구,갈마1동,127°22.5011'E,36°20.6525'N
2348,8007012,72310,사정1리,충청남도,논산시,벌곡면,127°17.0855'E,36°11.7826'N
2349,8007013,72320,사정1리,충청남도,논산시,벌곡면,127°17.0846'E,36°11.7900'N
2350,8007014,72330,대덕리,충청남도,논산시,벌곡면,127°17.6671'E,36°11.5077'N
2351,8007015,72340,대덕리,충청남도,논산시,벌곡면,127°17.6745'E,36°11.5054'N
2352,8007017,14340,가오고등학교,대전광역시,동구,효동,127°27.2887'E,36°18.5912'N
2353,8007018,14350,가오고등학교,대전광역시,동구,효동,127°27.3058'E,36°18.5642'N
2354,8007019,45930,노은휴먼시아4단지,대전광역시,유성구,노은1동,127°18.2416'E,36°22.6625'N
2355,8007020,45940,노은3지구종점,대전광역시,유성구,노은2동,127°18.3298'E,36°22.5402'N
2356,8007022,53230,선비마을3단지후문,대전광역시,대덕구,송촌동,127°26.5289'E,36°22.0596'N
2357,8007023,82440,미학아파트,대전광역시,유성구,온천1동,127°18.1769'E,36°20.5158'N
2358,8007024,82490,자광사,대전광역시,유성구,온천1동,127°18.7708'E,36°20.3136'N
2359,8007025,82480,자광사,대전광역시,유성구,온천1동,127°18.7717'E,36°20.3058'N
2360,8007026,82570,한라비발디아파트,대전광역시,유성구,원신흥동,127°20.0101'E,36°20.5863'N
2361,8007028,41500,유성중학교,대전광역시,유성구,원신흥동,127°20.1317'E,36°20.7704'N
2362,8007030,44210,태광산업중앙연구소,대전광역시,유성구,전민동,127°24.2905'E,36°24.2148'N
2363,8007031,23380,오월드,대전광역시,중구,산성동,127°23.7343'E,36°17.4045'N
2364,8007032,23480,보성네거리,대전광역시,중구,산성동,127°23.6561'E,36°18.2529'N
